,s0_c0,s0_c1,s0_c2,s1_c0,s1_c1,s1_c2,s2_c0,s2_c1,s2_c2
s0_c0,0.0,29.393016815185547,31.975900650024414,19.348419189453125,23.2100887298584,27.534440994262695,18.99309730529785,24.82371711730957,28.50782585144043
s0_c1,29.393016815185547,0.0,36.390769958496094,28.07163429260254,30.254472732543945,33.38996124267578,27.787952423095703,31.843481063842773,34.71285629272461
s0_c2,31.975900650024414,36.390769958496094,0.0,30.61347770690918,32.600154876708984,35.34988784790039,30.525156021118164,33.953941345214844,36.39048767089844
s1_c0,19.348419189453125,28.07163429260254,30.61347770690918,0.0,21.32432746887207,25.941875457763672,16.348220825195312,23.10701560974121,26.966705322265625
s1_c1,23.2100887298584,30.254472732543945,32.600154876708984,21.32432746887207,0.0,28.91180992126465,20.98995590209961,26.46725082397461,29.89731216430664
s1_c2,27.534440994262695,33.38996124267578,35.34988784790039,25.941875457763672,28.91180992126465,0.0,25.58747673034668,28.91749382019043,32.49677276611328
s2_c0,18.99309730529785,27.787952423095703,30.525156021118164,16.348220825195312,20.98995590209961,25.58747673034668,0.0,22.58310317993164,26.706972122192383
s2_c1,24.82371711730957,31.843481063842773,33.953941345214844,23.10701560974121,26.46725082397461,28.91749382019043,22.58310317993164,0.0,30.200695037841797
s2_c2,28.50782585144043,34.71285629272461,36.39048767089844,26.966705322265625,29.89731216430664,32.49677276611328,26.706972122192383,30.200695037841797,0.0
